# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
100000 2000
1 0.00375 0 0
2 0.01125 0 0
3 0.01875 0 0
4 0.02625 0 0
5 0.03375 0 0
6 0.04125 0 0
7 0.04875 0 0
8 0.05625 0 0
9 0.06375 0 0
10 0.07125 0 0
11 0.07875 0 0
12 0.08625 0 0
13 0.09375 0 0
14 0.10125 0 0
15 0.10875 0 0
16 0.11625 0 0
17 0.12375 0 0
18 0.13125 0 0
19 0.13875 0 0
20 0.14625 0 0
21 0.15375 0 0
22 0.16125 0 0
23 0.16875 0 0
24 0.17625 0 0
25 0.18375 0 0
26 0.19125 0 0
27 0.19875 0 0
28 0.20625 0 0
29 0.21375 0 0
30 0.22125 0 0
31 0.22875 0 0
32 0.23625 0 0
33 0.24375 0 0
34 0.25125 0 0
35 0.25875 0 0
36 0.26625 0 0
37 0.27375 0 0
38 0.28125 0 0
39 0.28875 0 0
40 0.29625 0 0
41 0.30375 0 0
42 0.31125 0 0
43 0.31875 0 0
44 0.32625 0 0
45 0.33375 0 0
46 0.34125 0 0
47 0.34875 0 0
48 0.35625 0 0
49 0.36375 0 0
50 0.37125 0 0
51 0.37875 0 0
52 0.38625 0 0
53 0.39375 0 0
54 0.40125 0 0
55 0.40875 0 0
56 0.41625 0 0
57 0.42375 0 0
58 0.43125 0 0
59 0.43875 0 0
60 0.44625 0 0
61 0.45375 0 0
62 0.46125 0 0
63 0.46875 0 0
64 0.47625 0 0
65 0.48375 0 0
66 0.49125 0 0
67 0.49875 0 0
68 0.50625 0 0
69 0.51375 0 0
70 0.52125 0 0
71 0.52875 0 0
72 0.53625 0 0
73 0.54375 0 0
74 0.55125 0 0
75 0.55875 0 0
76 0.56625 0 0
77 0.57375 0 0
78 0.58125 0 0
79 0.58875 0 0
80 0.59625 0 0
81 0.60375 0 0
82 0.61125 0 0
83 0.61875 0 0
84 0.62625 0 0
85 0.63375 0 0
86 0.64125 0 0
87 0.64875 0 0
88 0.65625 0 0
89 0.66375 0 0
90 0.67125 0 0
91 0.67875 0 0
92 0.68625 0 0
93 0.69375 0 0
94 0.70125 0 0
95 0.70875 0 0
96 0.71625 0 0
97 0.72375 0 0
98 0.73125 0 0
99 0.73875 0 0
100 0.74625 0 0
101 0.75375 0 0
102 0.76125 0 0
103 0.76875 0 0
104 0.77625 0 0
105 0.78375 0 0
106 0.79125 0 0
107 0.79875 0 0
108 0.80625 0 0
109 0.81375 0 0
110 0.82125 0 0
111 0.82875 0 0
112 0.83625 0 0
113 0.84375 0 0
114 0.85125 0 0
115 0.85875 0 0
116 0.86625 0 0
117 0.87375 0 0
118 0.88125 0 0
119 0.88875 0 0
120 0.89625 0 0
121 0.90375 0 0
122 0.91125 0 0
123 0.91875 0 0
124 0.92625 0 0
125 0.93375 0 0
126 0.94125 0 0
127 0.94875 0 0
128 0.95625 0 0
129 0.96375 0 0
130 0.97125 0 0
131 0.97875 0 0
132 0.98625 0 0
133 0.99375 0 0
134 1.00125 0 0
135 1.00875 0 0
136 1.01625 0 0
137 1.02375 0 0
138 1.03125 0 0
139 1.03875 0 0
140 1.04625 0 0
141 1.05375 0 0
142 1.06125 0 0
143 1.06875 0 0
144 1.07625 0 0
145 1.08375 0 0
146 1.09125 0 0
147 1.09875 0 0
148 1.10625 0 0
149 1.11375 0 0
150 1.12125 0 0
151 1.12875 0 0
152 1.13625 0 0
153 1.14375 0 0
154 1.15125 0 0
155 1.15875 0 0
156 1.16625 0 0
157 1.17375 0 0
158 1.18125 0 0
159 1.18875 0 0
160 1.19625 0 0
161 1.20375 0 0
162 1.21125 0 0
163 1.21875 0 0
164 1.22625 0 0
165 1.23375 0 0
166 1.24125 0 0
167 1.24875 0 0
168 1.25625 0 0
169 1.26375 0 0
170 1.27125 0 0
171 1.27875 0 0
172 1.28625 0 0
173 1.29375 0 0
174 1.30125 0 0
175 1.30875 0 0
176 1.31625 0 0
177 1.32375 0 0
178 1.33125 0 0
179 1.33875 0 0
180 1.34625 0 0
181 1.35375 0 0
182 1.36125 0 0
183 1.36875 0 0
184 1.37625 0 0
185 1.38375 0 0
186 1.39125 0 0
187 1.39875 0 0
188 1.40625 0 0
189 1.41375 0 0
190 1.42125 0 0
191 1.42875 0 0
192 1.43625 0 0
193 1.44375 0 0
194 1.45125 0 0
195 1.45875 0 0
196 1.46625 0 0
197 1.47375 0 0
198 1.48125 0 0
199 1.48875 0 0
200 1.49625 0 0
201 1.50375 0 0
202 1.51125 0 0
203 1.51875 0 0
204 1.52625 0 0
205 1.53375 0 0
206 1.54125 0 0
207 1.54875 0 0
208 1.55625 0 0
209 1.56375 0 0
210 1.57125 0 0
211 1.57875 0 0
212 1.58625 0 0
213 1.59375 0 0
214 1.60125 0 0
215 1.60875 0 0
216 1.61625 0 0
217 1.62375 0 0
218 1.63125 0 0
219 1.63875 0 0
220 1.64625 0 0
221 1.65375 0 0
222 1.66125 0 0
223 1.66875 0 0
224 1.67625 0 0
225 1.68375 0 0
226 1.69125 0 0
227 1.69875 0 0
228 1.70625 0 0
229 1.71375 0 0
230 1.72125 0 0
231 1.72875 0 0
232 1.73625 0 0
233 1.74375 0 0
234 1.75125 0 0
235 1.75875 0 0
236 1.76625 0 0
237 1.77375 0 0
238 1.78125 0 0
239 1.78875 0 0
240 1.79625 0 0
241 1.80375 0 0
242 1.81125 0 0
243 1.81875 0 0
244 1.82625 0 0
245 1.83375 0 0
246 1.84125 0 0
247 1.84875 0 0
248 1.85625 0 0
249 1.86375 0 0
250 1.87125 0 0
251 1.87875 0 0
252 1.88625 0 0
253 1.89375 0 0
254 1.90125 0 0
255 1.90875 0 0
256 1.91625 0 0
257 1.92375 0 0
258 1.93125 0 0
259 1.93875 0 0
260 1.94625 0 0
261 1.95375 0 0
262 1.96125 0 0
263 1.96875 0 0
264 1.97625 0 0
265 1.98375 0 0
266 1.99125 0 0
267 1.99875 0 0
268 2.00625 0 0
269 2.01375 0 0
270 2.02125 0 0
271 2.02875 0 0
272 2.03625 0 0
273 2.04375 0 0
274 2.05125 0 0
275 2.05875 0 0
276 2.06625 0 0
277 2.07375 0 0
278 2.08125 0 0
279 2.08875 0 0
280 2.09625 0 0
281 2.10375 0 0
282 2.11125 0 0
283 2.11875 0 0
284 2.12625 0 0
285 2.13375 0 0
286 2.14125 0 0
287 2.14875 0 0
288 2.15625 0 0
289 2.16375 0 0
290 2.17125 0 0
291 2.17875 0 0
292 2.18625 0 0
293 2.19375 0 0
294 2.20125 0 0
295 2.20875 0 0
296 2.21625 0 0
297 2.22375 0 0
298 2.23125 0 0
299 2.23875 0 0
300 2.24625 0 0
301 2.25375 0 0
302 2.26125 0 0
303 2.26875 0 0
304 2.27625 0 0
305 2.28375 0 0
306 2.29125 0 0
307 2.29875 0 0
308 2.30625 0 0
